Borders,State Name
Vietnam ,"Vietnam, Democratic Republic of"
Burma ,Myanmar (Burma)
United States ,United States of America
Belarus ,Belarus (Byelorussia)
Germany ,German Federal Republic
,
Cote d'Ivoire ,Cote DÕIvoire
Turkey (Turkiye) ,Turkey (Ottoman Empire)
,
Tanzania ,Tanzania/Tanganyika
Czechia ,Czech Republic
,
Kyrgyzstan ,Kyrgyz Republic
"Congo, Democratic Republic of the ","Congo, Democratic Republic of (Zaire)"
Suriname ,Surinam
,
,
"Gambia, The ",Gambia
Timor-Leste ,East Timor
,
"Korea, South ","Korea, Republic of"
,
,
Iran ,Iran (Persia)
Bosnia and Herzegovina ,Bosnia-Herzegovina
Yemen ,Yemen (Arab Republic of Yemen)
Zimbabwe ,Zimbabwe (Rhodesia)
,
,
Cambodia ,Cambodia (Kampuchea)
,
,
North Macedonia ,Macedonia (Former Yugoslav Republic of)
,
Russia ,Russia (Soviet Union)
"Congo, Republic of the ",Congo
"Korea, North ","Korea, People's Republic of"
Italy ,Italy/Sardinia
Burkina Faso ,Burkina Faso (Upper Volta)
